order_id, payment_sequential,payment_type,payment_installments,payment_value
"104b8d0ca41aec23f0847323c4cb8177",1,credit_card,1,55.63
"4fe87ba02ffa026600dce759f9fcd02e",2,voucher,1,20.85
"5e610a7e5b143f5d88aafc66cf9dad80",1,credit_card,5,57.29
"4969cddf1cd3a57ea95fe8c3b89a7018",2,voucher,1,18.44
"22ff296bec6517df99f56d2098171b8e",1,credit_card,6,146.59
"4bf39eca09442371845c5e3a303b17fb",1,credit_card,1,51.72
c3a69fde488a4b9b7052e6fced30c6af,1,credit_card,1,66.63
b1c1cc09ffd5666fc13da046dc5900e3,1,credit_card,3,133.76
"6fac795953102850a8d3886064e77a2a",1,credit_card,8,80.81
b0ff3393cff8b64e9150a65b49220259,1,credit_card,2,27.00
a1123c93471aa08ec72dfd5c941edcdc,1,credit_card,5,218.15
b41be8fdec5c4d3a935dc4319b3dc5af,1,credit_card,2,46.77
"161743a94abde3599def5bdce166684c",1,boleto,1,221.52
a7982d7c8e5f1fde0c06a1e958487a19,1,credit_card,3,105.15
"6c175759bc609d6fa9c693e5d24aa77d",1,boleto,1,100.22
c1fbc7155ea9f5c6249e998ab25708a6,1,credit_card,10,109.82
"217bb07ca5be930bc84e050acb4817c2",1,credit_card,2,29.51
"67859bd0284e2d4c7c7ae873212a5ff4",1,credit_card,1,63.00
bc54f31e7b469e9a92a649df95f54067,1,credit_card,3,99.65
e733891de1c5b78d0d7f77863402659b,2,voucher,1,109.52
"60b937da90f851b4fb55afb5d59d460b",1,credit_card,3,37.44
"7c67e69218256034fdfb7f4507c85906",1,credit_card,1,98.16
"58b3c61516dc5ed6140b6a09acbeb05f",3,voucher,1,25.00
"55fb38301e16de4684bb543bf4512b12",1,credit_card,10,194.01
"0c40dfe4127461031cfea37fb4c63856",1,credit_card,8,169.51
"835c4371614f69189484aaad9a4087dd",1,boleto,1,168.20
b0824d7e22fb8f487be1f22753268ce2,1,credit_card,2,128.24
"53d3436f6601750ca39cfa46de24c6ec",1,credit_card,2,25.67
ba0db9f92aa949903a0bc955770e27fc,1,credit_card,1,57.68
"89cfcb71856f9da1d6657a249ad239b2",1,credit_card,1,59.87
e076d90a9dd2b78794850f39bacf0d99,1,credit_card,4,152.52
"27a2251d56cb9212d616d68ff6c1c132",1,credit_card,8,112.30
b213718ea651bba092dfdf03b7e07af1,1,credit_card,4,145.65
"414a59b4de3aa1d952cc6c75d79d628d",1,credit_card,1,43.95
"5e01f3bd3366dac914df62787e0d3b3d",1,boleto,1,196.03
"9d56875afa926ef0d9263eb003dba6e0",1,credit_card,8,249.08
"143a94013dbe03feb57f03420bd2bd15",1,credit_card,1,34.35
"5a45d91a6a45708d28e1f018a24a2607",1,credit_card,2,109.59
b03fd938df9e8a597888994c096914f4,1,credit_card,2,137.90
ca8446e47a754f1f72ae3acf393d0eb0,4,voucher,1,12.70
"8e7c4bc6f83390fd197e3494442f1925",1,debit_card,1,93.24
"55a49914f37572b70e7d0e1fb09f0b1e",1,boleto,1,126.95
c71aa75fb0d0bd33c5bcc758608e7812,1,debit_card,1,46.14
"6a9220b640ac4965f3f64a46a1f340b8",1,credit_card,3,172.30
"9079949c454893e04a89e8c331a0156e",1,credit_card,1,60.44
"0345ba423eed2b009e0e407b19c422e4",1,credit_card,5,83.17
"5a39aece773a0e78a17451bff3221669",1,credit_card,1,68.29
"847e04c1fabd29748790e74c1430c603",2,voucher,1,45.34
"65c1539b20cda15011ae449cc1378b5e",1,voucher,1,65.71
"0fe5606eaf29eece073a6ca9fc9dabf9",1,boleto,1,70.13
"558c1baea4d7455f7964d6fa4e4d4b96",1,credit_card,4,206.77
"6a29741b0ee05eaaa2b4dd7a40b55890",1,credit_card,2,190.99
b0b55c59d28b64d3b611cb034eb9f1e6,1,credit_card,2,150.09
"3aa2bb5da854c543e0478288f4bb4301",1,credit_card,5,53.33
"37e3f45ce799c1dcf6c173ed83e1cf7a",1,credit_card,3,172.06
"6f1ea17aaf0660f7eea41df1f6fc9e27",1,credit_card,2,67.50
"32fef9bb0f0402350b640eb6f13dbe09",1,boleto,1,116.21
"11c6249a453b91a302ef9dc1946f737d",1,credit_card,1,93.85
"42e8893e9d0399ef8df568bc6bc24f21",1,credit_card,3,110.30
cd7d5eba4ca59e359249279469aa4f7a,1,boleto,1,165.21
"4baefe0b13c215e6417751ad5121469d",1,credit_card,10,512.88
"36eb70069f7101d0960ad249d5228f5a",1,credit_card,1,65.59
"9e89e45d01fc1c23ba675ab3dfbfa722",1,credit_card,10,314.92
f503bf4df121d79cc4907029e84dc441,1,boleto,1,131.73
cdc90cad1e7f9d43bfeef525c745ef33,1,credit_card,2,354.33
"6c6f90f3d428175f9e09d7f0d4ac4ed5",1,credit_card,3,76.78
"57d798526b7fee5ec54a74014382445d",1,credit_card,4,40.19
cea9ccd3a54929b9d68abbcdc75daed9,1,credit_card,8,437.36
cbfe74ef856d2073108d99d7c6407e80,1,credit_card,3,119.04
"37b5f8fa6640877a2177f9958e451479",1,boleto,1,195.89
"1e359230c99e4510d4ce63375b5c7f72",1,credit_card,4,48.34
"96c0941a87f12624bbaa976c3cb81ca2",1,credit_card,3,33.23
"7590e5484e3ab1973abbed2b5f8146e1",1,credit_card,8,105.96
"8086a62681389206d6324771e84fcb7c",1,credit_card,4,283.47
"4cb8dd7ed38c78241066cdaa289811ba",1,credit_card,5,1429.59
"8b57c0e23a2516e0b9a5259c83fc0883",1,credit_card,8,156.73
bdcf9c2f3ef0c55dc1273dd2c507b0f8,2,voucher,1,151.06
f8d682487207f7eab4caa4ab2f2968f7,1,credit_card,10,149.76
"9ca7ad0b7aafb20b74dd5c1bc5f851d4",1,credit_card,1,123.74
"9015087bd3384196d2ed2265cba81150",1,credit_card,10,255.71
"40e6e449d7ed3885b35b3925d7403cb2",1,boleto,1,176.65
bc45b02374684d220defbbb4648a809e,1,credit_card,6,344.97
"6c2df3329834884b60365f14e084c043",1,credit_card,1,25.50
cb7a2c6ea8712ab4fcb4f1c66a6ca274,1,credit_card,6,63.22
"6b654c2dc2e7c610cb22c325fb723057",1,credit_card,4,46.87
a24f325e05191fa74f745a0e89ea6d11,1,boleto,1,68.22
d5b1560bb46f4b57510a45569fa41b4c,1,credit_card,2,59.13
bb51d990e13eede824f5cf615f0d7167,1,credit_card,2,69.24
"7b7f464355b0fe4909df56cd8ac93d8d",1,credit_card,1,141.33
"6e91641701a7e08771aaaf514d5f7ad6",1,credit_card,2,128.68
a524add4c939052769dca61e4e2cebb0,1,credit_card,3,87.18
"8711e162ef4e4e3a2e036a5ea880b844",1,credit_card,2,112.20
"011080783e02d05b26c8c158b3653a42",1,credit_card,1,47.72
"80b822f372e31deefa128214a3380eff",1,boleto,1,122.17
af7b6d2963f03fb6bd066d90ff205dea,1,credit_card,2,83.73
"80c86e92eef37052119cf0e9a402000a",1,boleto,1,42.78
"1e6f350c900ca357945126e20117d293",6,voucher,1,13.36
"66f943fd426ac8716ef6b6b97ace8bd8",1,credit_card,1,74.94
"6f7ea3cb9fdeb4cb0d48e1933d792a56",1,boleto,1,391.96
b85940effca75fa13e0c2af6b056c0c2,1,credit_card,4,194.56
"2e95196ae337c5a2956c332bb1fc0a7a",1,credit_card,1,43.49
a917e3eec0c937fc142b4bdb2f93aa16,1,credit_card,1,31.76
"20f837a22a0326636f941c343fa912ed",2,voucher,1,29.07
"4e771842803751a695d042079930820e",1,credit_card,1,105.85
"3200257acc9dd36d1fa819e72fca7e59",1,credit_card,1,333.36
"7ce68309502b8d864e9ef8e47d21fd03",1,boleto,1,96.65
"7ca8f2556a9744a905d8f831fe60e39e",1,boleto,1,158.03
"1e648b21368a3ed91634edf2b262d33c",1,credit_card,1,82.12
e6b1fa22555c3064f984ebeb8a88de77,1,credit_card,3,61.05
"6b2e6953c172b21f54050c74b8b86250",1,credit_card,1,348.99
"839f89fab4eb89995bd044ad7e366473",1,credit_card,4,220.02
c2969f4247f4ebbc5f6e569ccf7eeff7,1,boleto,1,40.09
decde2051f14d8e9213dfc5d257c1d43,1,credit_card,10,733.50
"4d458ae78b6be4d04c94a3e7372ca386",1,boleto,1,66.51
ed3d229ff5daade6f2f99efc36a7fd05,1,credit_card,3,36.73
"041cbce90c076b8e9eb9f79112a59899",1,credit_card,2,193.72
"7c71c859e83e35ab16a4bd8c418a5cb8",1,credit_card,2,135.49
"837ca96a36038f5782cee52efb754480",1,credit_card,1,183.85
"0f1e7bf8658039bb445eae8393801c9c",1,credit_card,1,39.28
bc8206fa80d1bcd38257bd4550932b78,1,boleto,1,177.42
cb2e2bf4d2990911417af94995df6adf,1,credit_card,1,44.13
"9b816053262f4741f9d0d314dff0a41a",1,credit_card,3,323.52
"148a81c053082ad749e6ab0997a0f25a",1,boleto,1,81.05
"8ca35ef9366e216446621215448b381a",1,credit_card,3,62.83
bc6e05c3335f87caadbcd6c80de46ad2,1,credit_card,7,76.69
fb2e80e3aa34b3c57e91a7236fbe4326,1,credit_card,1,136.60
f63a31c3349b87273468ff7e66852056,2,voucher,1,19.41
"5c12fa0af04c822b40b15db1dda45745",1,credit_card,1,62.21
"733a9dcebb673d6b1730af81ab1fa6a2",1,credit_card,1,266.96
bff7e590732738aa522782dc42dc7705,1,boleto,1,654.41
fd50846b20c17e489103e3f00efdb5e5,1,credit_card,1,75.33
"74ea3815fca8d03749e89470f099ff98",1,credit_card,10,131.04
c1a8cd7002219199c6cddff33d64d4ca,1,credit_card,1,33.00
da76e3c8bc4ce67a5b382cfdeb67edde,1,boleto,1,40.75
"54544d34fc9df898bc9cf98c1ac24518",1,credit_card,1,35.42
de98a626981e2086824e16ba939bf641,1,credit_card,8,238.69
f9651b358b6d207c7bd6c83078948f27,1,credit_card,3,315.79
"1cd10971ff4d2e932ea34f379401a2b4",1,credit_card,10,576.04
"34e7cd696a9d01f8a95731b8d4508ef2",1,credit_card,1,237.05
"7516210b50a463ba7955ad0d32b9f012",1,boleto,1,57.11
"3f061223cd37b33b63b742cd2491d4f9",1,boleto,1,125.99
"6c0579db279e926d14faf051deae3288",1,boleto,1,71.70
"3b7a97d5bd2789c9087188dbfa105445",1,credit_card,5,522.08
"660076a2409adb8d95d868172c055e4d",1,credit_card,2,64.10
e92dbc16b2df28e1edb1d957392cca07,2,voucher,1,33.49
e9d9bbc83efa26a046a8ce46ed30fd9b,1,credit_card,4,86.64
"8d79387c949a14812dc166d8fe4039d1",2,voucher,1,49.86
"0c40becf669d1e6da9a8af153c382799",1,credit_card,1,38.93
"91be088e7093d68e9e8202a7e5d85269",1,credit_card,1,114.70
e544af259c17461504ff139fd5783179,1,boleto,1,27.77
"7af8a0c8e4cb2beca3bd2f5e3f4cf340",1,boleto,1,68.13
f1084769a9d3a8c88ae9aa1ceb9c63f6,1,credit_card,2,67.59
"83eeee55d222c6e3b10f716700517529",1,credit_card,6,95.14
"62c0ac109b07c5ee88e4af0defbcd93a",1,credit_card,8,296.61
"833d827e76a8693a05a5d8b6337fa218",1,boleto,1,105.71
e6f4dcae8f74d19df7183854d1276023,1,credit_card,7,149.07
fe6d6acf472f919a33bdc485082dafaa,1,credit_card,1,37.70
a7cc3c29f697ab59a78584b9b793b686,1,boleto,1,160.77
eb659e24ed654c43d1e9b8b13ba04f5f,1,boleto,1,41.32
"4c05a3711a90dee7f6336af0f3385142",1,boleto,1,42.62
"69179b97c4e4774ae379e88e67339627",1,credit_card,5,159.83
fe89c2d7806e114f3c487deb11030b20,1,credit_card,1,172.13
"567cb4e829743d8cc4dd3dc72b6d7136",1,credit_card,1,185.60
"4444ee622d44353604947c0232f3f62d",1,credit_card,5,201.07
ebb30219be9942791cb365838ca0dcc5,1,credit_card,8,184.09
"2d9a709258fa92bdd1a64e72bbf839d1",1,credit_card,4,44.42
"779078ac80552fa400b11c285d16e4fa",1,credit_card,10,293.40
b98ebf284363c61636157e9248e966b8,1,credit_card,1,86.04
eb3f33b48e3328516737e05964ed19a0,1,debit_card,1,98.67
"11c3ec39665545686192d37e03edd059",1,credit_card,2,78.14
c533856d03996a6114c8fa9a876181d4,1,credit_card,1,170.68
"02c84deb7aa1f2e74090d56a0ec84120",1,credit_card,3,34.00
"90f7af0187e8633c3a1f22e397558fe1",1,credit_card,3,150.50
"7f6209da874fb56bf2fd26791d83bcb8",2,voucher,1,36.59
c9739ce4c2bbfdbb76e36956cd43dd46,1,credit_card,1,25.03
aced4ae5d9332b2f1020d42e4718f532,1,boleto,1,68.13
"115cf7c242febcbed832ad6d631db40e",1,boleto,1,55.94
"57a7b18332c1b9b26d96e35379af3a38",1,boleto,1,72.98
"0e66c646ef5d6364215ef15b3826c4c7",1,credit_card,10,410.56
b771e62d713a06aed1f4d45b318a6851,1,credit_card,10,144.68
b36f1b439a234966d6d7dd52646bfd39,1,debit_card,1,147.60
cf18f775a1b2dfec83732a8679b66ec2,1,credit_card,1,68.32
"437f5369f126238624d421f44b3eb1db",1,boleto,1,1938.74
"28e3d439853e5fc8fefaa840d6f32cba",1,credit_card,1,49.23
"4b50640b1e15eabd0db5c82c7c1d8037",1,credit_card,7,73.13
"410d24bf2012bc9b2a94352bcc3639eb",1,credit_card,10,526.30
"0f2feb76d52c8e1be73daf8769a393e8",1,credit_card,3,184.91
"825df75b7a4b5c436b9d2443f653cab2",1,credit_card,1,112.30
"54eb0622bfe39fbc377326bc9f327a6a",1,credit_card,1,124.94
"10247742e08ee32225ec4da5725ead48",1,credit_card,1,1817.54
"4189bed5bcc86231422a2c652cbd66c8",1,boleto,1,82.98
"117db2f85d3f438fa92b5e9cb579e7a9",1,credit_card,3,217.32
"406a5ab51424aef9f3674c18a3060945",1,credit_card,3,109.59
"586949fae7b2b6a01f45ecb9e197212e",1,credit_card,3,126.77
"63ca01852c1563d1f998648d8d9a67aa",1,credit_card,5,149.02
afff419a18c7e010d1e4fd0df0c45940,1,credit_card,2,150.00
a376f17ec68dd516869482e28ba976b4,1,boleto,1,80.75
"9defaf92cff22420e4e8ef7784815a55",1,credit_card,6,62.69
f8fd2ac9626cada5584890581ca7e55b,1,credit_card,1,69.07
cc92b6f226e07df00f790972584285da,1,credit_card,1,52.53
"2c48969e48da7da20b6122d12778ea37",1,credit_card,2,123.49
"5fcc2670963f8c4fb6659296e7833fc1",1,credit_card,2,89.81
"61fb2aed86c91b61373a6d410b30a860",1,boleto,1,214.56
e15c6296371161f7eabd6ce8335b5b51,1,boleto,1,144.14
c177f5a6ca27ad47cffbbcddbb6abee8,1,credit_card,2,106.62
"3d02ec65652eef72551f7d3656206f7f",1,credit_card,2,61.75
ae24b4bd36760cf8c026d52448d408f1,1,credit_card,5,154.23
"3ed2950dfab630fa5008f66a0ebbae10",1,boleto,1,44.52
"6cbe1e11a1d2be3cada894fcdcbb020e",1,credit_card,1,73.77
"992896ae125eab618e4959e3ea83dc8c",1,credit_card,1,96.47
"19cfcf45fc399af9d3e9d1d98638997b",1,credit_card,10,121.09
c1218dcc236c1b2e5d2e9e4313127c0b,1,credit_card,1,31.71
a3bebc15aac7ca437c445ca941e5d152,1,credit_card,2,142.82
"00a4d94df1c9757661679b2f4bd6d311",1,boleto,1,59.33
"7a1fadde9a014947dc553d03acec903c",1,boleto,1,56.31
"1ca238d5d47be7f4da4d8d22f33ed7ca",1,credit_card,8,703.29
"4fee3f207d799bde54c784b3a172f2df",1,credit_card,3,147.73
c80521d90ae69387548a487d1cdc516c,1,credit_card,5,103.44
fc8088acbc3136f9baf41c1d43d2599d,1,credit_card,2,56.92
bf3381b72ab1dc63ee282883a9018a9d,1,credit_card,10,414.04
b78392b7c33c7ebd00d3ed0566813802,1,boleto,1,231.27
"05f24644b8019e68652b4216a5a5e956",1,credit_card,2,396.25
"086d49a75db554056a171c0c706a7e18",1,boleto,1,175.50
ffdda91cd98d69f6be1cd352e4447b8e,1,credit_card,1,65.13
"931e76c33f2109e760025ef697884eed",1,credit_card,1,77.22
"3bf8bde9ea71a7f34051c164fa01b939",1,credit_card,2,288.13
"60f7dee462ea29c73d75c9dcccf5d870",1,credit_card,5,193.02
"545c329642c609a7e1e3ab759eed9dc5",1,voucher,1,132.13
"2ad4b2ebb217758686f791210a03d02a",1,credit_card,4,65.00
a9d1aee0bde57de8dbdcb70f2dbc410d,1,credit_card,3,141.80
"5b9f98f4f7f84913dfb746a86bb11ab1",1,credit_card,1,63.60
b0cd3123ecc7babec23f9cb415bc6db6,1,credit_card,2,197.13
"25b0aadbfdbdc6fcc91820762f6aaf35",1,credit_card,10,387.77
"8d68d7bd9cf7a752bf49e61522d69542",1,credit_card,1,103.39
"7b8b1e2fbbe6a726e3bd583956716bcb",1,boleto,1,59.33
"809866afc43dd3f06fc471f5eebe53e6",2,voucher,1,50.00
"57b9cf4a37a14014639920e1f6d81e52",1,credit_card,3,294.70
a6c1ae4d48280b5b3c43231ac6afd701,1,credit_card,3,218.27
"275c954b14ae960e2f512856c198c8fb",1,credit_card,1,116.94
bcedf990f0c3bda8b094040f2f332327,1,boleto,1,59.50
b7d0e451b92a8719276a9f822fa0dd1f,1,voucher,1,87.83
de60de4b79d5011e2b037dec761a4876,1,credit_card,1,44.75
d231fd01d6c8e36e503f1a7f8a9734ea,1,credit_card,1,101.55
"57bc74eb1e10edbb55d22d71b35d9b72",1,debit_card,1,131.81
cc72dd3008f4752e05206e1fdd08cc57,1,credit_card,7,77.19
"31e20f393d978aab31a2c05963f156a3",1,boleto,1,87.64
"0fa1fab1d7c1211c824596ed5e111e3c",1,credit_card,10,269.53
"37291588c0c8db280d64f1921165d811",1,credit_card,1,29.51
df6eeef04ae6f9a4d55409474104ea93,1,credit_card,1,74.16
b08b60cece524686b12c2201f977ba42,1,credit_card,3,64.79
"3ac745c240dae78ad2e1b9e191e92143",1,credit_card,6,87.64
"0b528dd823a72d145a342b30a202dfa2",1,credit_card,4,208.91
"9ab7e83865799ba29a85d51263a137cd",1,credit_card,6,78.81
"5595480d373b37e5738fc085dd9bcb8e",1,boleto,1,186.40
"42cba4864b46e647175a24df49b1426a",1,boleto,1,154.18
