order_id, payment_sequential,payment_type,payment_installments,payment_value
"44411d47c4ceddd847c094ee77fcbf45",1,credit_card,1,37.25
"423a4ec1579258ccf1267d7414246c52",1,credit_card,4,49.09
ebcf66c1607001ac95cb9c83eeb8669b,1,credit_card,8,233.87
f6af781541c4243d56cfd0e0bb073c21,1,credit_card,7,369.92
"79fb2e82fcf7bd64619ce8781904e6e2",1,credit_card,6,137.21
c7cdb5ada4357751c31d84f94d1a14f7,1,boleto,1,167.15
bec25025b8d0b7db00c510720053761e,1,boleto,1,23.93
"8fdfd0573d4f3afceb521f146fbc3cf0",1,credit_card,2,43.00
"689dcb65c9cc37f74d83b547261117f0",1,credit_card,3,129.37
e9e7ebde60b33ca371a24f94a52fb499,1,credit_card,3,30.29
"1b79d2acd9204f5e12d9c6f8b8ac5bbc",1,credit_card,3,192.01
"58edc4867c66375b07bb99a5ff66e843",1,credit_card,6,61.05
dddc545a77663ef26d16778d03ef3bcd,2,voucher,1,257.51
dbe6677f2b80aadfa0b4b87ed71e7619,1,credit_card,1,71.36
"6264cc0ad74f0cd5c2133590679c5284",1,credit_card,1,54.87
"47718199d2ca56a38ae8cfccc158c692",1,credit_card,1,33.75
e503810be7ff9fce3bffb662632b4479,1,credit_card,4,42.77
"952da942e2586c7131de1381aba049a3",1,credit_card,10,228.67
"46adacfb7a94e068dc59aee8c57cae9d",1,credit_card,1,113.22
"2f6c8229bb3fdf4119d15ce35c9adbd4",1,boleto,1,131.27
"7aa6b432c4945c7b3aef906c5c3506df",1,credit_card,1,45.78
"88acd05b37d513a676b7151a8f08259f",1,credit_card,1,105.37
"285c2e15bebd4ac83635ccc563dc71f4",2,voucher,1,1.24
"9878cf05ddc72172379e9305a3d1bf46",1,credit_card,3,83.23
"2d40e4509fd3b132931c957812969adc",1,credit_card,3,245.51
"4bfcba9e084f46c8e3cb49b0fa6e6159",15,voucher,1,50.00
e1d4659c4e03e66db764ac804aaf19f8,1,credit_card,7,349.43
e59e3805b6853ed31516f019ab44c3b1,1,credit_card,8,172.10
"106c30fcc271e1005d8f3167d8d82af0",1,credit_card,3,32.77
"04730e3327a051a939ae815e14e482e1",1,credit_card,8,616.94
"8f4ca9bde5fe4aa5bcf7af761a7779cc",1,credit_card,1,29.07
"895764a4b54b7193c02aa784fabbcaeb",1,boleto,1,445.55
ea72383cf738914448322568a400d37c,1,boleto,1,132.05
"7008991f32a3ce17589bd3c3a9453b36",1,boleto,1,22.38
b209d9ebeffc9e2d9792355b594c5b25,1,credit_card,4,66.89
"146f48c486ae970836ac642ed6168ecd",1,boleto,1,50.82
ff65c06d9d1fcec5dfefe1dbeb606e5f,1,credit_card,7,149.36
"77acb3b32ab623aaf525b52006d0c142",1,credit_card,4,43.69
"9a2176942821e355e4ff9dc4a8e96a07",1,debit_card,1,89.90
a6401d6c8f6d0df7821a17a628c1f36a,1,credit_card,1,30.84
"3951227294406e4a8f10d726a82027a0",1,credit_card,10,185.84
a9fd72b050d13c8473c0d9503ac493b8,1,boleto,1,556.73
faf24d720d9868ca8f55193b656161e6,1,credit_card,1,151.61
"7f12656efc70e6657b398d760df1f8d0",1,credit_card,2,287.89
cb9419b2db4cc2797c93a4d4cb27eafc,1,boleto,1,56.69
"0fdc6ce12cb319cb9c173af525080d3f",2,voucher,1,100.00
"2504a8e58ea5a99cad95669ca061e307",1,credit_card,4,125.96
a6fa6ddceedb5ea6477c3660ccc379d8,1,credit_card,1,134.49
"0f7f3fcd5523d759e8e17084e45439d5",1,boleto,1,142.56
fd513fb508fefbe0ce7bfb8fd1bee4fc,2,voucher,1,3.54
"800deb240c0633d6f980c1274f122c6e",1,credit_card,1,41.13
"4a3798db024e5f7ec925bd803ec5567c",1,credit_card,2,186.24
"95417f5a4c30e5e8d627362f281bdb1e",1,credit_card,3,183.60
d9773132aa1151c56c6f940c8d29cc0a,1,credit_card,3,66.67
d34f01a9355c71adcc41fbc504e8609f,1,credit_card,3,150.39
"651e1fca4fb4f7aa369b38ffbf204a62",1,credit_card,1,77.12
a7dc01ae91acf2567d1367a25ce303e5,1,credit_card,1,53.37
eb3f49181d8f9fb967004f264af0b329,1,credit_card,3,101.20
"38b7efdf33dd5561f4f5d4f6e07b0414",1,credit_card,1,44.09
"0fe3f84cf0535ad78f10115634d7ed88",1,credit_card,4,219.27
e7ec2ee871d40f0b32fb471cb07ad239,1,credit_card,1,79.14
"66d494f1ba392f6f1538dd344dc22a3e",1,credit_card,1,32.33
"86f353da4086de44a6acd7faf109e47d",5,voucher,1,25.00
eef276c7d2a8add364316e714f060623,1,credit_card,2,115.55
d42ae950f4e723eab090b9a51ef3557e,1,voucher,1,44.85
dd0710bca2d815cf18148d1d9859fb3b,1,boleto,1,335.04
"9d6f2f3cd249678b19ac473c2e38bee9",1,credit_card,8,282.74
"771c4f1f521f462e4b95619e648aaeab",1,credit_card,2,114.07
d877b306ef910af8ed6dc15022dbbc65,1,credit_card,1,109.69
a6ac4552716d0eff2649af4aa090619c,1,credit_card,3,36.44
f23c71439ab24ac853522e783dd7dec2,1,credit_card,3,165.94
"4b707ea4e7c08fa1180bf92bede67da0",1,credit_card,1,5.45
